name_canon,name_raw,births
ADYNN,ADYNN,1
ADYRA,ADYRA,1
ADYSEN,ADYSEN,1
ADYSON,ADYSON,1
AE-CHA,AE-CHA,1
AEDAN,AEDAN,7
AEDEN,AEDEN,2
AEDRA,AEDRA,1
AEDYN,AEDYN,2
AEIKO,AEIKO,1
AEILA,AEILA,1
AEL,AEL,2
AELA,AELA,3
AELA,AËLA,1
AELIA,AELIA,1
AELIANA,AELIANA,3
AELIANNA,AELIANNA,1
AELICIA,AELICIA,1
AELIN,AELIN,2
AELLA,AELLA,1
AELYN,AELYN,2
AEMA,AEMA,1
AEMILIA,AEMILIA,3
AEMILIUS,AEMILIUS,1
AEMON,AEMON,1
AENEAS,AENEAS,2
AEON,AEON,1
AERA,AERA,1
AERALEA,AERALEA,1
AERALYN,AERALYN,2
AERALYNN,AERALYNN,1
AERICA,AERICA,1
AERIE,AERIE,1
AERILYN,AERILYN,1
AERILYNN,AERILYNN,2
AERIN,AERIN,1
AERIS,AERIS,6
AERISS,AERISS,1
AERITH,AERITH,3
AERMIAS,AERMIAS,1
AERO,AERO,4
AERO ANGELO,AERO ANGELO,1
AERYN,AERYN,1
AESCH,AESCH,1
AESHA,AESHA,2
AESIR,AESIR,1
AESON,AESON,2
AESOP,AESOP,1
AEVAH,AEVAH,1
AEVAN,AEVAN,1
AEVE,AEVE,1
AEVUM,AEVUM,1
AFAAN,AFAAN,1
AFANWI,AFANWI,1
AFFAN,AFFAN,3
AFFAN ZAHIDI,AFFAN ZAHIDI,1
AFHAAM,AFHAAM,1
AFIFA,AFIFA,1
AFIYAH,AFIYAH,2
AFNAN,AFNAN,1
AFRAH,AFRAH,2
AFRAZ,AFRAZ,1
AFTON,AFTON,4
AFUA,AFUA,1
